kode_bps,nama_bps,kode_dagri,nama_dagri
1101010,TEUPAH SELATAN,11.09.07,TEUPAH SELATAN
1101020,SIMEULUE TIMUR,11.09.04,SIMEULUE TIMUR
1101021,TEUPAH BARAT,11.09.03,TEUPAH BARAT
1101022,TEUPAH TENGAH,11.09.09,TEUPAH TENGAH
1101030,SIMEULUE TENGAH,11.09.01,SIMEULUE TENGAH
1101031,TELUK DALAM,11.09.05,TELUK DALAM
1101032,SIMEULUE CUT,11.09.10,SIMEULUE CUT
1101040,SALANG,11.09.02,SALANG
1101050,SIMEULUE BARAT,11.09.06,SIMEULUE BARAT
1101051,ALAFAN,11.09.08,ALAPAN
1102010,PULAU BANYAK,11.10.01,PULAU BANYAK
1102011,PULAU BANYAK BARAT,11.10.16,PULAU BANYAK BARAT
1102020,SINGKIL,11.10.04,SINGKIL
1102021,SINGKIL UTARA,11.10.10,SINGKIL UTARA
1102022,KUALA BARU,11.10.14,KUALA BARU
1102030,SIMPANG KANAN,11.10.02,SIMPANG KANAN
1102031,GUNUNG MERIAH,11.10.06,GUNUNG MERIAH
1102032,DANAU PARIS,11.10.11,DANAU PARIS
1102033,SURO,11.10.12,SURO MAKMUR
1102042,SINGKOHOR,11.10.13,SINGKOHOR
1102043,KOTA BAHARU,11.10.09,KOTA BAHARU
1103010,TRUMON,11.01.09,TRUMON
1103011,TRUMON TIMUR,11.01.16,TRUMON TIMUR
1103012,TRUMON TENGAH,11.01.18,TRUMON TENGAH
1103020,BAKONGAN,11.01.01,BAKONGAN
1103021,BAKONGAN TIMUR,11.01.15,BAKONGAN TIMUR
1103022,KOTA BAHAGIA,11.01.17,KOTA BAHAGIA
1103030,KLUET SELATAN,11.01.03,KLUET SELATAN
1103031,KLUET TIMUR,11.01.14,KLUET TIMUR
1103040,KLUET UTARA,11.01.02,KLUET UTARA
1103041,PASIE RAJA,11.01.10,PASI RAJA
1103042,KLUET TENGAH,11.01.13,KLUET TENGAH
1103050,TAPAK TUAN,11.01.08,TAPAKTUAN
1103060,SAMA DUA,11.01.06,SAMADUA
1103070,SAWANG,11.01.07,SAWANG
1103080,MEUKEK,11.01.05,MEUKEK
1103090,LABUHAN HAJI,11.01.04,LABUHAN HAJI
1103091,LABUHAN HAJI TIMUR,11.01.11,LABUHAN HAJI TIMUR
1103092,LABUHAN HAJI BARAT,11.01.12,LABUHAN HAJI BARAT
1104010,LAWE ALAS,11.02.01,LAWE ALAS
1104011,BABUL RAHMAH,11.02.11,BABUL RAHMAH
1104012,TANOH ALAS,11.02.15,TANOH ALAS
1104020,LAWE SIGALA-GALA,11.02.02,LAWE SIGALA-GALA
1104021,BABUL MAKMUR,11.02.06,BABUL MAKMUR
1104022,SEMADAM,11.02.10,SEMADAM
1104023,LEUSER,11.02.16,LEUSER
1104030,BAMBEL,11.02.03,BAMBEL
1104031,BUKIT TUSAM,11.02.09,BUKIT TUSAM
1104032,LAWE SUMUR,11.02.14,LAWE SUMUR
1104040,BABUSSALAM,11.02.04,BABUSSALAM
1104041,LAWE BULAN,11.02.08,LAWE BULAN
1104050,BADAR,11.02.05,BADAR
1104051,DARUL HASANAH,11.02.07,DARUL HASANAH
1104052,KETAMBE,11.02.12,KETAMBE
1104053,DELENG POKHKISEN,11.02.13,DELENG POKHKISEN
1105080,SERBA JADI,11.03.05,SERBAJADI
1105081,SIMPANG JERNIH,11.03.20,SIMPANG JERNIH
1105082,PEUNARON,11.03.24,PEUNARON
1105090,BIREM BAYEUN,11.03.04,BIREM BAYEUN
1105100,RANTAU SELAMAT,11.03.08,RANTAU SELAMAT
1105101,SUNGAI RAYA,11.03.19,SUNGAI RAYA
1105110,PEUREULAK,11.03.07,PEUREULAK
1105111,PEUREULAK TIMUR,11.03.17,PEUREULAK TIMUR
1105112,PEUREULAK BARAT,11.03.18,PEUREULAK BARAT
1105120,RANTO PEUREULAK,11.03.10,RANTAU PEUREULAK
1105130,IDI RAYEUK,11.03.03,IDI RAYEUK
1105131,PEUDAWA,11.03.16,PEUDAWA
1105132,BANDA ALAM,11.03.15,BANDA ALAM
1105133,IDI TUNONG,11.03.14,IDI TUNONG
1105134,DARUL IHSAN,11.03.21,DARUL IHSAN
1105135,IDI TIMUR,11.03.23,IDI TIMUR
1105140,DARUL AMAN,11.03.01,DARUL AMAN
1105150,NURUSSALAM,11.03.06,NURUSSALAM
1105151,DARUL FALAH,11.03.22,DARUL FALAH
1105160,JULOK,11.03.02,JULOK
1105161,INDRA MAKMUR,11.03.13,INDRA MAKMU
1105170,PANTE BIDARI,11.03.11,PANTE BIDARI
1105180,SIMPANG ULIM,11.03.09,SIMPANG ULIM
1105181,MADAT,11.03.12,MADAT
1106010,LINGE,11.04.01,LINGE
1106011,ATU LINTANG,11.04.18,ATU LINTANG
1106012,JAGONG JEGET,11.04.19,JAGONG JEGET
1106020,BINTANG,11.04.08,BINTANG
1106031,LUT TAWAR,11.04.17,LAUT TAWAR
1106032,KEBAYAKAN,11.04.11,KEBAYAKAN
1106040,PEGASING,11.04.07,PEGASING
1106041,BIES,11.04.20,BIES
1106050,BEBESEN,11.04.03,BEBESEN
1106051,KUTE PANANG,11.04.12,KUTE PANANG
1106060,SILIH NARA,11.04.02,SILIH NARA
1106061,KETOL,11.04.10,KETOL
1106062,CELALA,11.04.13,CELALA
1106063,RUSIP ANTARA,11.04.21,RUSIP ANTARA
1107050,JOHAN PAHLAWAN,11.05.01,JOHAN PAHWALAN
1107060,SAMATIGA,11.05.05,SAMATIGA
1107061,BUBON,11.05.06,BUBON
1107062,ARONGAN LAMBALEK,11.05.07,ARONGAN LAMBALEK
1107070,WOYLA,11.05.04,WOYLA
1107071,WOYLA BARAT,11.05.10,WOYLA BARAT
1107072,WOYLA TIMUR,11.05.11,WOYLA TIMUR
